asset_symbol,price_date,close_price
BTC-USD,2021-01-01,29359.9
BTC-USD,2021-01-02,32193.3
BTC-USD,2021-01-03,32958.9
BTC-USD,2021-01-04,32022.6
BTC-USD,2021-01-05,33991.5
BTC-USD,2021-01-06,36793.2
BTC-USD,2021-01-07,39460.2
BTC-USD,2021-01-08,40599.3
BTC-USD,2021-01-09,40151.9
BTC-USD,2021-01-10,38192.2
BTC-USD,2021-01-11,35544.3
BTC-USD,2021-01-12,34076.1
BTC-USD,2021-01-13,37382.2
BTC-USD,2021-01-14,39175.7
BTC-USD,2021-01-15,36845.8
BTC-USD,2021-01-16,36019.5
BTC-USD,2021-01-17,35839.6
BTC-USD,2021-01-18,36613.2
BTC-USD,2021-01-19,36002.9
BTC-USD,2021-01-20,35476.3
BTC-USD,2021-01-21,30842.1
BTC-USD,2021-01-22,33000.5
BTC-USD,2021-01-23,32088.9
BTC-USD,2021-01-24,32241.3
BTC-USD,2021-01-25,32252.3
BTC-USD,2021-01-26,32502.1
BTC-USD,2021-01-27,30404.0
BTC-USD,2021-01-28,33374.8
BTC-USD,2021-01-29,34301.8
BTC-USD,2021-01-30,34283.1
BTC-USD,2021-01-31,33108.1
BTC-USD,2021-02-01,33515.7
BTC-USD,2021-02-02,35485.2
BTC-USD,2021-02-03,37646.8
BTC-USD,2021-02-04,36982.1
BTC-USD,2021-02-05,38297.6
BTC-USD,2021-02-06,39256.6
BTC-USD,2021-02-07,38852.9
BTC-USD,2021-02-08,46395.7
BTC-USD,2021-02-09,46508.6
BTC-USD,2021-02-10,44836.0
BTC-USD,2021-02-11,47990.7
BTC-USD,2021-02-12,47371.7
BTC-USD,2021-02-13,47168.7
BTC-USD,2021-02-14,48643.4
BTC-USD,2021-02-15,47936.3
BTC-USD,2021-02-16,49169.7
BTC-USD,2021-02-17,52079.2
BTC-USD,2021-02-18,51582.2
BTC-USD,2021-02-19,55906.6
BTC-USD,2021-02-20,55923.7
BTC-USD,2021-02-21,57433.8
BTC-USD,2021-02-22,54111.8
BTC-USD,2021-02-23,48911.2
BTC-USD,2021-02-24,49697.5
BTC-USD,2021-02-25,46928.5
BTC-USD,2021-02-26,46345.6
BTC-USD,2021-02-27,46136.7
BTC-USD,2021-02-28,45164.0
BTC-USD,2021-03-01,49595.5
BTC-USD,2021-03-02,48424.2
BTC-USD,2021-03-03,50395.1
BTC-USD,2021-03-04,48428.0
BTC-USD,2021-03-05,48792.5
BTC-USD,2021-03-06,48855.6
BTC-USD,2021-03-07,50982.3
BTC-USD,2021-03-08,52311.0
BTC-USD,2021-03-09,54879.0
BTC-USD,2021-03-10,55851.9
BTC-USD,2021-03-11,57799.5
BTC-USD,2021-03-12,57265.1
BTC-USD,2021-03-13,61195.3
BTC-USD,2021-03-14,59113.7
BTC-USD,2021-03-15,55791.3
BTC-USD,2021-03-16,56889.7
BTC-USD,2021-03-17,58913.5
BTC-USD,2021-03-18,57656.0
BTC-USD,2021-03-19,58088.0
BTC-USD,2021-03-20,58093.4
BTC-USD,2021-03-21,57383.8
BTC-USD,2021-03-22,54158.3
BTC-USD,2021-03-23,54452.5
BTC-USD,2021-03-24,52325.4
BTC-USD,2021-03-25,51322.3
BTC-USD,2021-03-26,55036.1
BTC-USD,2021-03-27,55862.9
BTC-USD,2021-03-28,55765.2
BTC-USD,2021-03-29,57616.2
BTC-USD,2021-03-30,58771.3
BTC-USD,2021-03-31,58763.7
BTC-USD,2021-04-01,58718.3
BTC-USD,2021-04-02,58977.3
BTC-USD,2021-04-03,57059.9
BTC-USD,2021-04-04,58199.9
BTC-USD,2021-04-05,58993.4
BTC-USD,2021-04-06,57996.3
BTC-USD,2021-04-07,55948.7
BTC-USD,2021-04-08,58077.4
BTC-USD,2021-04-09,58118.7
BTC-USD,2021-04-10,59748.4
BTC-USD,2021-04-11,59978.7
BTC-USD,2021-04-12,59863.8
BTC-USD,2021-04-13,63540.9
BTC-USD,2021-04-14,62980.4
BTC-USD,2021-04-15,63216.0
BTC-USD,2021-04-16,61379.7
BTC-USD,2021-04-17,60041.9
BTC-USD,2021-04-18,56207.1
BTC-USD,2021-04-19,55646.1
BTC-USD,2021-04-20,56483.2
BTC-USD,2021-04-21,53820.2
BTC-USD,2021-04-22,51729.5
BTC-USD,2021-04-23,51143.6
BTC-USD,2021-04-24,50088.9
BTC-USD,2021-04-25,48963.6
BTC-USD,2021-04-26,54020.5
BTC-USD,2021-04-27,55036.5
BTC-USD,2021-04-28,54841.4
BTC-USD,2021-04-29,53560.8
BTC-USD,2021-04-30,57720.3
