asset_symbol_1,asset_symbol_2,correlation_value
BTC-USD,BTC-USD,1.0
ETH-USD,BTC-USD,0.8051060671777609
GOLD,BTC-USD,0.07461133519020033
SPY,BTC-USD,0.3755296843170011
BTC-USD,ETH-USD,0.8051060671777609
ETH-USD,ETH-USD,1.0
GOLD,ETH-USD,0.08145921739653095
SPY,ETH-USD,0.39730685613584554
BTC-USD,GOLD,0.07461133519020033
ETH-USD,GOLD,0.08145921739653095
GOLD,GOLD,1.0
SPY,GOLD,0.10993413844268286
BTC-USD,SPY,0.3755296843170011
ETH-USD,SPY,0.39730685613584554
GOLD,SPY,0.10993413844268286
SPY,SPY,1.0
