window_end_date,correlation_value,pair_name,window_length_days
2021-05-13,0.3585509084016953,BTC-USD vs SPY,90
2021-05-14,0.3482223035143205,BTC-USD vs SPY,90
2021-05-17,0.3469491103857443,BTC-USD vs SPY,90
2021-05-18,0.3347830484022017,BTC-USD vs SPY,90
2021-05-19,0.32997631376922315,BTC-USD vs SPY,90
2021-05-20,0.33600153790108583,BTC-USD vs SPY,90
2021-05-21,0.33514150944116555,BTC-USD vs SPY,90
2021-05-24,0.3500415396869889,BTC-USD vs SPY,90
2021-05-25,0.35688674648409646,BTC-USD vs SPY,90
2021-05-26,0.34938207981370956,BTC-USD vs SPY,90
2021-05-27,0.35376519055625416,BTC-USD vs SPY,90
2021-05-28,0.3581888326512548,BTC-USD vs SPY,90
2021-06-01,0.3710089663125599,BTC-USD vs SPY,90
2021-06-02,0.3815520113044454,BTC-USD vs SPY,90
2021-06-03,0.37615982693322164,BTC-USD vs SPY,90
2021-06-04,0.35992930423432273,BTC-USD vs SPY,90
2021-06-07,0.3381404998357924,BTC-USD vs SPY,90
2021-06-08,0.3289622692996557,BTC-USD vs SPY,90
2021-06-09,0.33662012668720354,BTC-USD vs SPY,90
2021-06-10,0.3374142513975038,BTC-USD vs SPY,90
2021-06-11,0.32597968413073825,BTC-USD vs SPY,90
2021-06-14,0.3288413195587312,BTC-USD vs SPY,90
2021-06-15,0.33818064062101955,BTC-USD vs SPY,90
2021-06-16,0.34210033514468946,BTC-USD vs SPY,90
2021-06-17,0.33765488312663244,BTC-USD vs SPY,90
2021-06-18,0.3551558120272109,BTC-USD vs SPY,90
2021-06-21,0.3026475255604737,BTC-USD vs SPY,90
2021-06-22,0.3069121742480001,BTC-USD vs SPY,90
2021-06-23,0.30546597179901763,BTC-USD vs SPY,90
2021-06-24,0.31005802308202207,BTC-USD vs SPY,90
2021-06-25,0.3027139482143171,BTC-USD vs SPY,90
2021-06-28,0.30237946807023347,BTC-USD vs SPY,90
2021-06-29,0.3122120146160291,BTC-USD vs SPY,90
2021-06-30,0.30328516881454126,BTC-USD vs SPY,90
2021-07-01,0.30317808572472416,BTC-USD vs SPY,90
2021-07-02,0.30157586321912233,BTC-USD vs SPY,90
2021-07-03,0.27955123811267807,BTC-USD vs SPY,90
